id,"create_date","user","identifier"
87,"2013-12-31 23:50:06",NULL,"57728"
88,"2013-12-31 23:50:09",NULL,"57729"
108,"2014-01-02 11:05:09",NULL,"58622"
118,"2014-01-02 11:20:06",NULL,"58766"
119,"2014-01-02 11:20:08",NULL,"58767"
120,"2014-01-02 11:20:11",NULL,"58768"
121,"2014-01-02 11:20:13",NULL,"58769"
122,"2014-01-02 11:20:16",NULL,"58770"
123,"2014-01-02 11:20:19",NULL,"58771"
124,"2014-01-02 11:20:21",NULL,"58772"
125,"2014-01-02 11:20:27",NULL,"58773"
126,"2014-01-02 11:20:29",NULL,"58774"
127,"2014-01-02 11:20:30",NULL,"58775"
128,"2014-01-02 11:20:32",NULL,"58776"
129,"2014-01-02 11:23:07",NULL,"58777"
130,"2014-01-02 11:23:09",NULL,"58778"
131,"2014-01-02 11:23:11",NULL,"58779"
132,"2014-01-02 11:23:14",NULL,"58780"
133,"2014-01-02 11:23:16",NULL,"58781"
134,"2014-01-02 11:23:19",NULL,"58782"
135,"2014-01-02 11:23:21",NULL,"58783"
136,"2014-01-02 11:23:23",NULL,"58784"
137,"2014-01-02 11:23:25",NULL,"58785"
138,"2014-01-02 11:23:27",NULL,"58786"
139,"2014-01-02 11:23:29",NULL,"58787"
140,"2014-01-04 13:13:58",NULL,"61598"
141,"2014-01-04 13:14:00",NULL,"61599"
142,"2014-01-04 13:14:02",NULL,"61600"
143,"2014-01-04 13:14:05",NULL,"61601"
144,"2014-01-04 13:14:07",NULL,"61602"
145,"2014-01-04 13:14:10",NULL,"61610"
146,"2014-01-04 13:14:13",NULL,"61611"
147,"2014-01-04 13:14:15",NULL,"61612"
148,"2014-01-04 13:33:04",NULL,"19229"
149,"2014-01-04 13:33:08",NULL,"19231"
150,"2014-01-04 13:33:09",NULL,"19232"
151,"2014-01-04 13:33:11",NULL,"19233"
152,"2014-01-15 19:48:13",NULL,"56954"
153,"2014-01-15 20:03:55",NULL,"56954"
154,"2014-01-15 20:03:57",NULL,"56955"
155,"2014-01-15 20:03:59",NULL,"56956"
156,"2014-01-15 20:04:01",NULL,"56957"
157,"2014-01-15 20:04:04",NULL,"56958"
158,"2014-01-15 20:04:06",NULL,"56959"
159,"2014-01-15 20:04:08",NULL,"56960"
160,"2014-01-15 20:04:11",NULL,"56961"
161,"2014-01-15 20:04:14",NULL,"56962"
162,"2014-01-15 20:04:16",NULL,"56963"
163,"2014-01-15 20:04:18",NULL,"56964"
164,"2014-01-15 20:04:20",NULL,"56965"
165,"2014-01-15 20:04:22",NULL,"56966"
166,"2014-01-15 20:04:29",NULL,"56967"
167,"2014-01-15 20:04:31",NULL,"56968"
168,"2014-01-15 20:04:33",NULL,"56969"
169,"2014-01-15 20:04:36",NULL,"56970"
170,"2014-01-15 20:04:38",NULL,"56971"
171,"2014-01-15 20:04:40",NULL,"56972"
172,"2014-01-15 20:04:42",NULL,"57016"
173,"2014-01-15 20:04:48",NULL,"57017"
174,"2014-01-15 20:04:51",NULL,"57018"
175,"2014-01-15 20:09:04",NULL,"56954"
176,"2014-01-15 20:09:06",NULL,"56955"
177,"2014-01-15 20:09:08",NULL,"56956"
178,"2014-01-15 20:09:10",NULL,"56957"
179,"2014-01-15 20:09:13",NULL,"56958"
180,"2014-01-15 20:09:15",NULL,"56959"
181,"2014-01-15 20:09:17",NULL,"56960"
182,"2014-01-15 20:09:19",NULL,"56961"
183,"2014-01-15 20:09:22",NULL,"56962"
184,"2014-01-15 20:09:24",NULL,"56963"
185,"2014-01-15 20:09:26",NULL,"56964"
186,"2014-01-15 20:09:29",NULL,"56965"
187,"2014-01-15 20:09:31",NULL,"56966"
188,"2014-01-15 20:09:37",NULL,"56967"
189,"2014-01-15 20:09:39",NULL,"56968"
190,"2014-01-15 20:09:41",NULL,"56969"
191,"2014-01-15 20:09:44",NULL,"56970"
192,"2014-01-15 20:09:46",NULL,"56971"
193,"2014-01-15 20:09:48",NULL,"56972"
194,"2014-01-15 20:09:49",NULL,"57016"
195,"2014-01-15 20:09:55",NULL,"57017"
196,"2014-01-15 20:09:58",NULL,"57018"
197,"2014-01-15 20:10:00",NULL,"57536"
198,"2014-01-15 20:10:02",NULL,"57537"
199,"2014-01-15 20:10:06",NULL,"57538"
200,"2014-01-15 20:10:08",NULL,"57539"
201,"2014-01-15 20:10:10",NULL,"57540"
202,"2014-01-15 20:10:11",NULL,"57541"
203,"2014-01-15 20:10:13",NULL,"57542"
204,"2014-01-15 20:10:14",NULL,"57543"
205,"2014-01-15 20:10:16",NULL,"57544"
206,"2014-01-15 20:10:18",NULL,"57545"
207,"2014-01-15 20:10:23",NULL,"57546"
208,"2014-01-15 20:10:24",NULL,"57547"
209,"2014-01-15 20:10:26",NULL,"57548"
210,"2014-01-15 20:10:28",NULL,"57549"
211,"2014-01-15 20:10:30",NULL,"57550"
212,"2014-01-15 20:10:32",NULL,"57551"
213,"2014-01-15 20:10:33",NULL,"57552"
214,"2014-01-15 20:10:35",NULL,"57553"
215,"2014-01-15 20:10:37",NULL,"57554"
216,"2014-01-15 20:10:43",NULL,"57555"
217,"2014-01-15 20:10:44",NULL,"57556"
218,"2014-01-15 20:13:06",NULL,"56954"
219,"2014-01-15 20:13:08",NULL,"56955"
220,"2014-01-15 20:13:10",NULL,"56956"
221,"2014-01-15 20:13:12",NULL,"56957"
222,"2014-01-15 20:13:15",NULL,"56958"
223,"2014-01-15 20:13:17",NULL,"56959"
224,"2014-01-15 20:13:19",NULL,"56960"
225,"2014-01-15 20:13:21",NULL,"56961"
226,"2014-01-15 20:13:23",NULL,"56962"
227,"2014-01-15 20:13:26",NULL,"56963"
228,"2014-01-15 20:13:28",NULL,"56964"
229,"2014-01-15 20:13:31",NULL,"56965"
230,"2014-01-15 20:13:33",NULL,"56966"
231,"2014-01-15 20:13:39",NULL,"56967"
232,"2014-01-15 20:13:40",NULL,"56968"
233,"2014-01-15 20:13:42",NULL,"56969"
234,"2014-01-15 20:13:46",NULL,"56970"
235,"2014-01-15 20:13:47",NULL,"56971"
236,"2014-01-15 20:13:49",NULL,"56972"
237,"2014-01-15 20:13:51",NULL,"57016"
238,"2014-01-15 20:13:56",NULL,"57017"
239,"2014-01-15 20:14:00",NULL,"57018"
240,"2014-01-15 20:14:02",NULL,"57536"
241,"2014-01-15 20:14:03",NULL,"57537"
242,"2014-01-15 20:14:05",NULL,"57538"
243,"2014-01-15 20:14:09",NULL,"57539"
244,"2014-01-15 20:14:11",NULL,"57540"
245,"2014-01-15 20:14:12",NULL,"57541"
246,"2014-01-15 20:14:14",NULL,"57542"
247,"2014-01-15 20:14:15",NULL,"57543"
248,"2014-01-15 20:14:17",NULL,"57544"
249,"2014-01-15 20:14:19",NULL,"57545"
250,"2014-01-15 20:14:24",NULL,"57546"
251,"2014-01-15 20:14:26",NULL,"57547"
252,"2014-01-15 20:14:28",NULL,"57548"
253,"2014-01-15 20:14:30",NULL,"57549"
254,"2014-01-15 20:14:31",NULL,"57550"
255,"2014-01-15 20:14:33",NULL,"57551"
256,"2014-01-15 20:14:35",NULL,"57552"
257,"2014-01-15 20:14:37",NULL,"57553"
258,"2014-01-15 20:14:39",NULL,"57554"
259,"2014-01-15 20:14:44",NULL,"57555"
260,"2014-01-15 20:14:46",NULL,"57556"
261,"2014-01-16 08:32:11",NULL,"57557"
262,"2014-01-16 08:32:14",NULL,"57718"
263,"2014-01-16 08:32:16",NULL,"57719"
264,"2014-01-16 08:32:18",NULL,"57720"
265,"2014-01-16 08:32:20",NULL,"57721"
266,"2014-01-16 08:32:22",NULL,"57722"
267,"2014-01-16 08:32:24",NULL,"57723"
268,"2014-01-16 08:32:26",NULL,"57724"
269,"2014-01-16 08:32:28",NULL,"57725"
270,"2014-01-16 08:32:30",NULL,"57726"
271,"2014-01-16 08:32:32",NULL,"57727"
272,"2014-01-16 08:32:34",NULL,"57728"
273,"2014-01-16 08:32:37",NULL,"57729"
274,"2014-01-16 08:32:38",NULL,"57730"
275,"2014-01-16 08:32:40",NULL,"57731"
276,"2014-01-16 08:32:42",NULL,"57732"
277,"2014-01-16 08:32:44",NULL,"57733"
278,"2014-01-16 08:32:46",NULL,"58613"
279,"2014-01-16 08:32:48",NULL,"57734"
280,"2014-01-16 08:32:49",NULL,"57735"
281,"2014-01-16 08:32:52",NULL,"57736"
282,"2014-01-16 08:32:54",NULL,"57737"
283,"2014-01-16 08:32:56",NULL,"57738"
284,"2014-01-16 08:32:57",NULL,"58611"
285,"2014-01-16 08:32:59",NULL,"58612"
286,"2014-01-16 08:33:00",NULL,"58615"
287,"2014-01-16 08:33:04",NULL,"58616"
288,"2014-01-16 08:33:06",NULL,"58617"
289,"2014-01-16 08:33:08",NULL,"58618"
290,"2014-01-16 08:33:10",NULL,"58619"
291,"2014-01-16 08:33:11",NULL,"58620"
292,"2014-01-16 08:33:13",NULL,"58621"
293,"2014-01-16 08:33:17",NULL,"58622"
294,"2014-01-16 08:33:19",NULL,"58623"
295,"2014-01-16 08:33:20",NULL,"58624"
296,"2014-01-16 08:33:22",NULL,"58625"
297,"2014-01-16 08:33:23",NULL,"58626"
298,"2014-01-16 08:33:25",NULL,"58627"
299,"2014-01-16 08:33:27",NULL,"58628"
300,"2014-01-16 08:33:32",NULL,"58629"
301,"2014-01-16 08:33:33",NULL,"58630"
302,"2014-01-16 08:33:35",NULL,"58631"
303,"2014-01-16 08:33:37",NULL,"58766"
304,"2014-01-16 08:33:39",NULL,"58767"
305,"2014-01-16 08:33:41",NULL,"58768"
306,"2014-01-16 08:33:43",NULL,"58769"
307,"2014-01-16 08:33:45",NULL,"58770"
308,"2014-01-16 08:33:47",NULL,"58771"
309,"2014-01-16 08:33:53",NULL,"58772"
310,"2014-01-16 08:33:55",NULL,"58773"
311,"2014-01-16 08:33:57",NULL,"58774"
312,"2014-01-16 08:33:59",NULL,"58775"
313,"2014-01-16 08:34:01",NULL,"58776"
314,"2014-01-16 08:34:03",NULL,"58777"
315,"2014-01-16 08:34:05",NULL,"58778"
316,"2014-01-16 08:34:07",NULL,"58779"
317,"2014-01-16 08:34:09",NULL,"58780"
318,"2014-01-16 08:34:11",NULL,"58781"
319,"2014-01-16 08:34:18",NULL,"58782"
320,"2014-01-16 08:34:20",NULL,"58783"
321,"2014-01-16 08:34:22",NULL,"58784"
322,"2014-01-16 08:34:24",NULL,"58785"
323,"2014-01-16 08:34:26",NULL,"58786"
324,"2014-01-16 08:34:27",NULL,"58787"
